agebin	5th	Median	95th
1000	0	0	0
999	0	0	0
998	0	0	0
997	0	0	0
996	0	0	0
995	0	0	0
994	0	0	0
993	0	0	0
992	0	0	0
991	0	0	0
990	0	0	0
989	0	0	0
988	0	0	0
987	0	0	0
986	0	0	0
985	0	0	7.74127471987E-005
984	0	0	9.66066440622E-005
983	0	0	0.0001120578
982	0	0	0.0001310987
981	0	0	0.0001494519
980	0	0	0.0001651671
979	0	0	0.0001798691
978	0	0	0.0001912332
977	0	0	0.0002041083
976	0	0	0.0002156635
975	0	0	0.0002282911
974	0	0	0.0002369813
973	0	0	0.0002474095
972	0	0	0.00025983
971	0	0	0.0002692346
970	0	0	0.000279191
969	0	0	0.0002880538
968	0	0	0.0002995642
967	0	0	0.0003088208
966	0	0	0.0003166601
965	0	0	0.0003279281
964	0	0	0.0003381028
963	0	0	0.0003464999
962	0	0	0.0003561861
961	0	0	0.0003628309
960	0	0	0.0003705078
959	0	0	0.0003787452
958	0	0	0.0003861287
957	0	0	0.0003939708
956	0	0	0.0004029664
955	0	0	0.0004103776
954	0	0	0.0004190096
953	0	0	0.0004301575
952	0	0	0.0004384441
951	0	0	0.0004454341
950	0	0	0.0004528409
949	0	0	0.000459828
948	0	0	0.000466665
947	0	0	0.0004736688
946	0	0	0.0004798638
945	0	0	0.0004873501
944	0	0	0.0004964222
943	0	0	0.0005011377
942	0	0	0.0005065816
941	0	0	0.0005116582
940	0	0	0.0005179932
939	0	0	0.0005266794
938	0	0	0.0005308932
937	0	0	0.0005367453
936	0	0	0.0005424756
935	0	0	0.0005454251
934	0	0	0.0005511536
933	0	0	0.0005561442
932	0	0	0.0005613255
931	0	0	0.0005691117
930	0	0	0.0005719316
929	0	0	0.0005766556
928	0	0	0.0005824466
927	0	0	0.0005858465
926	0	0	0.0005905389
925	0	0	0.0005933393
924	0	0	0.0005995797
923	0	0	0.0006042291
922	0	0	0.0006080742
921	0	0	0.0006125289
920	0	0	0.0006168242
919	0	0	0.0006217677
918	0	0	0.0006242692
917	0	0	0.0006292702
916	0	0	0.0006333777
915	0	0	0.0006398188
914	0	0	0.0006455741
913	0	0	0.0006482582
912	0	0	0.0006530013
911	0	0	0.0006564909
910	0	0	0.0006590554
909	0	0	0.0006634648
908	0	0	0.0006647979
907	0	0	0.0006681702
906	0	0	0.00067051
905	0	0	0.000674976
904	0	0	0.0006767194
903	0	0	0.0006795198
902	0	0	0.0006821004
901	0	0	0.0006853923
900	0	0	0.0006900414
899	0	0	0.0006934313
898	0	0	0.0006977956
897	0	0	0.0006989575
896	0	0	0.0007018957
895	0	0	0.0007040241
894	0	0	0.0007058491
893	0	0	0.0007105851
892	0	0	0.0007135199
891	0	0	0.0007197729
890	0	0	0.0007241709
889	0	0	0.0007268512
888	0	0	0.0007298671
887	0	0	0.0007304825
886	0	0	0.0007314398
885	0	0	0.0007326676
884	0	0	0.0007326676
883	0	0	0.0007333556
882	0	0	0.0007353875
881	0	0	0.000737442
880	0	0	0.0007415056
879	0	0	0.00074681
878	0	0	0.0007490387
877	0	0	0.0007537751
876	0	0	0.0007555912
875	0	0	0.0007555912
874	0	0	0.000757939
873	0	0	0.0007591496
872	0	0	0.0007596976
871	0	0	0.0007617776
870	0	0	0.0007648404
869	0	0	0.0007700473
868	0	0	0.0007707161
867	0	0	0.0007714638
866	0	0	0.000775151
865	0	0	0.0007790777
864	0	0	0.0007806372
863	0	0	0.0007837351
862	0	0	0.000785697
861	0	0	0.0007890092
860	0	0	0.0007905432
859	0	0	0.0007931555
858	0	0	0.0007935661
857	0	0	0.0007966592
856	0	0	0.0007983262
855	0	0	0.0008000713
854	0	0	0.0008017841
853	0	0	0.0008032891
852	0	0	0.0008053321
851	0	0	0.0008071954
850	0	0	0.0008103922
849	0	0	0.0008121313
848	0	0	0.0008144685
847	0	0	0.000817172
846	0	0	0.0008219987
845	0	0	0.0008257787
844	0	0	0.000826921
843	0	0	0.0008305604
842	0	0	0.0008310161
841	0	0	0.000831925
840	0	0	0.0008365206
839	0	0	0.0008399442
838	0	0	0.0008448565
837	0	0	0.0008474012
836	0	0	0.0008479094
835	0	0	0.0008501482
834	0	0	0.0008528554
833	0	0	0.0008566279
832	0	0	0.0008593571
831	0	0	0.0008595776
830	0	0	0.0008612263
829	0	0	0.0008625821
828	0	0	0.0008666355
827	0	0	0.0008704005
826	0	5.41236784179E-005	0.0008738677
825	0	5.90605393197E-005	0.0008778278
824	0	6.16566674512E-005	0.0008821615
823	0	0.000063993	0.0008854706
822	0	6.57492525192E-005	0.0008883704
821	0	6.74458555515E-005	0.0008909083
820	0	6.92092220312E-005	0.0008955333
819	0	7.11088862555E-005	0.0009008757
818	0	0.000072696	0.0009035805
817	0	7.41941892832E-005	0.0009088736
816	0	7.54995866866E-005	0.0009114373
815	0	7.69732538563E-005	0.0009141771
814	0	7.8264935567E-005	0.0009187042
813	0	0.000079575	0.0009215871
812	0	8.11138032935E-005	0.0009245301
811	0	8.22260848824E-005	0.0009259008
810	0	8.34035650072E-005	0.0009290986
809	0	8.44572654157E-005	0.0009316099
808	0	8.5583262453E-005	0.0009349691
807	0	8.65804737256E-005	0.0009353261
806	0	8.75234786954E-005	0.0009379456
805	0	8.83866797832E-005	0.0009394501
804	0	8.95312795059E-005	0.0009415765
803	0	9.04909021647E-005	0.0009442427
802	0	9.14375903355E-005	0.0009468535
801	0	9.24558162826E-005	0.0009498763
800	0	9.33597101519E-005	0.0009512887
799	0	9.42897634313E-005	0.0009535976
798	0	9.51044695192E-005	0.0009571231
797	0	9.59453776319E-005	0.000960871
796	0	9.6725484353E-005	0.0009635564
795	0	9.74977890829E-005	0.0009669319
794	0	9.82176513461E-005	0.0009725385
793	0	9.90498603574E-005	0.0009756858
792	0	9.99831812414E-005	0.0009789765
791	0	0.0001008315	0.0009820259
790	0	0.0001016134	0.0009830253
789	0	0.0001025183	0.0009841979
788	0	0.0001032603	0.000988026
787	0	0.0001040342	0.000990396
786	0	0.0001047954	0.000993433
785	0	0.0001055275	0.0009956495
784	0	0.0001062359	0.0009993153
783	0	0.0001069749	0.0010014156
782	0	0.0001076039	0.0010042699
781	0	0.0001083471	0.0010076797
780	0	0.0001089806	0.0010106862
779	0	0.0001097259	0.0010137529
778	0	0.0001102507	0.001016588
777	0	0.0001108989	0.0010198736
776	0	0.0001118113	0.0010226483
775	0	0.0001124837	0.0010262005
774	0	0.0001130742	0.0010278998
773	0	0.0001138254	0.0010315516
772	0	0.0001143791	0.0010332341
771	0	0.0001150443	0.0010357164
770	0	0.0001158068	0.0010379824
769	0	0.0001165522	0.0010411768
768	0	0.0001171936	0.0010463215
767	0	0.0001178153	0.0010487725
766	0	0.0001185062	0.0010514631
765	0	0.000119118	0.0010539412
764	0	0.0001198235	0.0010573547
763	0	0.0001204216	0.0010600134
762	0	0.0001210338	0.0010624619
761	0	0.0001215517	0.0010658518
760	0	0.0001220821	0.0010687982
759	0	0.0001226215	0.0010732915
758	0	0.00012316	0.001074131
757	0	0.0001238069	0.0010784693
756	0	0.0001244244	0.0010812235
755	0	0.0001250319	0.001084189
754	0	0.0001256132	0.0010863508
753	0	0.0001262433	0.0010904929
752	0	0.000126812	0.0010936533
751	0	0.0001274197	0.0010979374
750	0	0.0001280491	0.0011017982
749	0	0.0001286682	0.001104476
748	0	0.0001291805	0.0011063314
747	0	0.0001299066	0.0011116436
746	0	0.0001305953	0.0011140263
745	0	0.0001312045	0.0011168207
744	0	0.0001317492	0.0011205571
743	0	0.0001322559	0.0011242119
742	0	0.0001328274	0.0011268206
741	0	0.0001334478	0.0011310207
740	0	0.0001340628	0.0011339337
739	0	0.000134718	0.0011365049
738	0	0.0001352232	0.0011389171
737	0	0.0001357989	0.0011429745
736	0	0.0001362915	0.0011455621
735	0	0.0001367461	0.0011490466
734	0	0.0001372743	0.0011522719
733	0	0.0001377319	0.0011544949
732	0	0.0001383489	0.0011584848
731	0	0.0001388478	0.0011625146
730	0	0.0001393446	0.0011668261
729	0	0.0001398258	0.0011691814
728	0	0.0001404895	0.0011722505
727	0	0.0001409969	0.0011760199
726	0	0.0001414284	0.0011788439
725	0	0.0001419541	0.001181301
724	0	0.0001426471	0.0011845651
723	0	0.0001432564	0.0011877503
722	0	0.000143793	0.0011911563
721	0	0.0001443099	0.0011940389
720	0	0.0001448026	0.0011976039
719	0	0.0001452392	0.0012011799
718	0	0.0001457095	0.0012053723
717	0	0.0001462433	0.0012102581
716	0	0.0001466834	0.0012131095
715	0	0.0001472206	0.0012164742
714	0	0.0001477212	0.0012192582
713	0	0.0001482715	0.001222158
712	0	0.0001488667	0.0012240294
711	0	0.0001494769	0.0012272018
710	0	0.0001499246	0.0012311329
709	0	0.0001503256	0.0012340942
708	0	0.000150894	0.0012378557
707	0	0.000151309	0.0012417601
706	0	0.0001517754	0.0012451782
705	0	0.0001522098	0.0012489806
704	0	0.0001526372	0.001251695
703	0	0.0001531474	0.001254303
702	0	0.000153745	0.0012592562
701	0	0.0001542646	0.0012627069
700	0	0.0001546978	0.0012666425
699	0	0.0001552215	0.0012693838
698	0	0.0001556544	0.0012724729
697	0	0.0001562445	0.0012769021
696	0	0.0001568277	0.0012812871
695	0	0.000157401	0.0012858136
694	0	0.0001580174	0.0012895659
693	0	0.0001584881	0.0012931947
692	0	0.0001589899	0.0012976916
691	0	0.0001597063	0.0013028503
690	0	0.0001601771	0.0013080334
689	0	0.0001608883	0.0013137138
688	0	0.0001614259	0.0013158543
687	0	0.0001620387	0.0013214546
686	0	0.0001625871	0.0013257051
685	0	0.0001630019	0.0013293653
684	0	0.0001634941	0.0013329967
683	0	0.0001639018	0.0013365862
682	0	0.0001645134	0.0013410289
681	0	0.0001650215	0.0013442601
680	0	0.0001655506	0.0013481639
679	0	0.0001660258	0.0013522808
678	0	0.0001665069	0.0013565204
677	0	0.000166943	0.0013594203
676	0	0.0001675134	0.0013631783
675	0	0.0001680437	0.0013689835
674	0	0.0001685377	0.0013717767
673	0	0.0001689927	0.0013768988
672	0	0.0001695541	0.0013816403
671	0	0.0001700363	0.0013865978
670	0	0.0001704678	0.0013891549
669	0	0.0001707797	0.0013948949
668	0	0.0001712429	0.001398613
667	0	0.0001718323	0.001403583
666	0	0.0001721774	0.0014074386
665	0	0.00017261	0.001412098
664	0	0.0001731335	0.0014162793
663	0	0.0001735088	0.0014202535
662	0	0.0001740738	0.001424007
661	0	0.0001745078	0.0014292035
660	0	0.0001749919	0.0014326966
659	0	0.0001755163	0.0014387646
658	0	0.0001760245	0.0014423299
657	0	0.0001765455	0.0014467989
656	0	0.0001772418	0.001452828
655	0	0.0001778564	0.001456891
654	0	0.0001785006	0.0014616756
653	0	0.0001790141	0.0014646686
652	0	0.0001793822	0.0014703207
651	0	0.0001799856	0.0014758821
650	0	0.0001805238	0.0014808815
649	0	0.0001810954	0.0014846157
648	0	0.0001816117	0.0014879396
647	0	0.0001821176	0.0014921471
646	0	0.0001826902	0.0014979246
645	0	0.0001833398	0.0015032809
644	0	0.0001838445	0.0015088
643	0	0.0001844342	0.0015135539
642	0	0.0001848293	0.0015212481
641	0	0.0001853905	0.001527611
640	0	0.0001859457	0.0015339578
639	0	0.0001866049	0.0015396295
638	0	0.0001871052	0.0015457896
